Atom_ID,E_Vac_Cell,E_f_vac_Zn
27214,-720035.941658519,0.9344985189685228
27217,-720035.851997823,0.8448378229817005
27218,-720036.103019919,1.0958599190065268
33613,-720035.719646108,0.7124861079804229
33614,-720035.671103217,0.6639432170498746
33619,-720035.288367029,0.28120702903956196
33940,-720035.565338636,0.558178636042923
33945,-720035.416441874,0.4092818739894407
33636,-720035.20639101,0.19923100996069631
27550,-720035.30291879,0.2957587900176274
33946,-720035.572563485,0.5654034850025179
33951,-720035.307785096,0.30062509598914555
27498,-720035.335524306,0.3283643060434239
33899,-720035.55631964,0.5491596400109681
34236,-720035.188514415,0.1813544149348142
27513,-720035.289311516,0.28215151597518495
27841,-720035.592890451,0.5857304509566726
33917,-720035.35503328,0.34787327997159234
33918,-720035.701748029,0.6945880289725589
34242,-720035.293423899,0.28626389897666893
34243,-720035.318691433,0.3115314330510425
27519,-720035.622144611,0.6149846109632032
27522,-720035.834136107,0.8269761069981011
27523,-720035.491831925,0.4846719249920549
27525,-720036.082679434,1.075519433973879
27528,-720035.531545844,0.5243858440383898
27531,-720035.378470444,0.37131044399697355
27853,-720035.361767633,0.35460763299610487
33923,-720035.515846562,0.5086865619826691
33925,-720035.761937222,0.7547772219707819
33929,-720035.57317037,0.5660103699495646
33930,-720035.788295212,0.7811352119618656
27538,-720035.295200496,0.28804049597360215
33943,-720035.188995688,0.1818356879824402
34272,-720035.195227448,0.1880674480065333
34273,-720035.35592269,0.34876269000355176
27547,-720035.530907542,0.5237475419720264
27549,-720035.609627336,0.6024673360237481
33949,-720035.558917227,0.5517572269612553
33953,-720035.433011921,0.425851920999177
33954,-720035.506191929,0.49903192898031346
33960,-720035.547367191,0.5402071909350904
27883,-720035.774578831,0.7674188310350852
27889,-720035.514977972,0.5078179720161112
34285,-720035.707838684,0.700678683964126
34290,-720035.436310341,0.4291503409925478
34222,-720034.936064508,0.07109549196198561
27826,-720035.307055069,0.2998950690101462
27831,-720035.060655568,0.05349556802079103
27838,-720035.589973124,0.5828131239698829
34571,-720035.207163544,0.20000354401540033
27840,-720035.529408262,0.5222482619877534
27844,-720035.989416918,0.982256918011755
27849,-720035.318019101,0.31085910103987924
27850,-720035.464581261,0.4574212610326337
34240,-720035.163949905,0.1567899049562963
34244,-720035.5813258,0.5741658000345903
34588,-720035.565663069,0.5585030690138789
34260,-720035.596507275,0.5893472750043126
27855,-720035.299038132,0.2918781319470706
27861,-720035.580340404,0.57318040393997
27862,-720035.365507012,0.3583470119932296
28205,-720035.692697531,0.6855375309545176
